CHU,2017,2018,2019,2020,2021,2022,2023,2024
Mnazimwenga,0.589,0.608,0.627,0.647,0.675,0.704,0.732,0.761
Mutsengo,0.583,0.631,0.677,0.723,0.774,0.825,0.877,0.93
Viragoni,0.581,0.611,0.64,0.669,0.696,0.724,0.751,0.778
Kibwabwani,0.867,0.915,0.962,1.008,1.067,1.124,1.181,1.239
Vishakani,3.291,3.451,3.608,3.762,3.928,4.094,4.259,4.422
Kwale,2.365,2.496,2.624,2.75,2.903,3.057,3.213,3.386
Kombeni,1.777,1.928,2.073,2.211,2.352,2.493,2.631,2.766
Mwele-Kisurutini,3.874,4.053,4.225,4.389,4.529,4.669,4.809,4.952
Buni,3.07,3.166,3.258,3.346,3.429,3.51,3.591,3.677
Tsangatsini,0.397,0.408,0.42,0.433,0.446,0.46,0.473,0.486
