CHU,2017,2018,2019,2020,2021,2022,2023,2024
Buni,1.24254,1.269992,1.340532,1.28351,1.552741,1.767893,2.020435,2.184409
Kibwabwani,0.285595,0.271437,0.20639,0.306258,0.362156,0.414612,0.416583,0.437497
Kombeni,0.405497,0.417732,0.363402,0.458594,0.559199,0.636802,0.635694,0.712958
Kwale,0.482739,0.480541,0.433193,0.533198,0.661616,0.754214,0.800814,0.792881
Mnazimwenga,0.252962,0.250296,0.191765,0.291129,0.338414,0.382111,0.378448,0.405363
Mutsengo,0.252123,0.251665,0.190177,0.295365,0.339599,0.374715,0.377978,0.415955
Mwele-Kisurutini,1.320649,1.73807,1.600795,1.736854,1.781247,1.851504,1.91974,1.922422
Tsangatsini,0.255994,0.255473,0.198422,0.297341,0.346913,0.389954,0.395796,0.436852
Viragoni,0.261359,0.249154,0.188728,0.286683,0.331399,0.372614,0.374389,0.395427
Vishakani,0.53619,0.51768,0.470784,0.563223,0.687755,0.768417,0.809888,0.810477
