CHU,2017,2018,2019,2020,2021,2022,2023,2024
Buni,20.99794825,22.85471538,20.9873642,28.71075038,25.19116398,23.8652181,29.31994432,28.41699958
Kibwabwani,0.001294888,1.686268035,0.371309164,4.12324745,0.012948881,0,0,0.392027374
Kombeni,10.51296442,24.7390857,17.38582354,31.16517223,9.084004829,8.90293498,14.34972984,22.15466439
Kwale,6.135270325,13.18718139,8.983318575,11.49869564,11.53938205,10.75437379,14.8505373,12.4117464
Mnazimwenga,0.004417254,0.180862003,0.016442,0.165401614,0,0,0.000490806,0.026748926
Mutsengo,0.104968509,0.253150441,0.116538419,0.955447753,0.036244006,0.066354411,0.066354411,0.334699454
Mwele-Kisurutini,42.07353269,45.0916376,46.75651109,50.27917934,46.19351488,47.59590413,53.5913037,58.636937
Tsangatsini,0.189042746,0.426820457,0.475952759,0.612445974,0.245530143,0.043877511,0.070742633,0.425572444
Viragoni,0,0.088080437,0,0.108060345,0,0,0,0.000844221
Vishakani,25.8961666,35.94133738,28.63505993,43.57600254,27.8095491,26.71364241,30.27105961,32.45378991
