CHU,2017,2018,2019,2020,2021,2022,2023,2024
Buni,985.0644896,1004.966531,1024.20107,1043.594635,1063.424969,1082.415457,1102.976975,1123.775223
Kibwabwani,147.7925436,150.9981742,153.8293728,156.8155093,159.6992594,162.5386401,165.7539849,168.912845
Kombeni,446.4172035,456.578143,465.8060588,475.4571714,485.0686853,494.3444585,505.1035503,515.8925476
Kwale,421.4228556,431.3731772,440.9796202,450.7439746,461.138457,471.9938867,483.4449367,495.3040343
Mnazimwenga,118.920376,121.2752629,123.389388,125.6038505,127.7530098,129.7046315,131.9170825,134.1212119
Mutsengo,101.9591479,104.3436956,106.4582449,108.73158,110.9471593,112.9350555,115.3657275,117.7396096
Mwele-Kisurutini,1143.097205,1167.583209,1191.582741,1216.121158,1240.614676,1263.958095,1289.335391,1315.179245
Tsangatsini,73.37636716,74.88236509,76.25831547,77.70698454,79.10736251,80.38194259,81.81732424,83.2251888
Viragoni,107.8984932,110.1430073,112.1020903,114.1757879,116.1676267,117.9587974,120.0209676,122.0104172
Vishakani,785.2770125,801.8875348,818.0837197,834.467062,851.7370335,868.8175293,886.7141547,904.9480045
